b,k,periodo,estabilidad
-20.0,-22.3,2,E
-20.0,-22.4,2,E
-20.0,-22.5,2,E
-20.0,-22.6,2,E
-20.0,-22.8,2,E
-20.0,-23.0,2,I
-20.0,-23.3,2,I
-20.0,-23.6,2,I
-20.0,-23.8,5,I
-20.0,-23.9,2,I
-20.0,-24.3,2,I
-20.0,-24.3,3,I
-20.0,-24.5,3,I
-20.0,-24.6,2,I
-20.0,-24.7,2,I
-20.0,-24.7,3,I
-20.0,-24.8,2,I
-20.0,-24.9,3,I
-20.0,-25.2,2,I
-20.0,-25.3,2,I
-20.0,-25.4,3,I
-20.0,-25.5,3,I
-20.0,-25.6,2,I
-20.0,-25.6,3,I
-20.0,-25.8,3,I
-20.0,-25.9,2,I
-20.0,-25.9,3,I
-20.0,-26.1,2,I
-20.0,-26.1,3,I
-20.0,-26.2,3,I
-20.0,-26.4,2,I
-20.0,-26.4,3,I
-20.0,-26.5,2,I
-20.0,-26.6,2,I
-20.0,-26.7,2,I
-20.0,-26.8,2,I
-20.0,-26.8,3,I
-20.0,-26.9,2,I
-20.0,-27.0,2,I
-20.0,-27.1,3,I
-20.0,-27.2,2,I
-20.0,-27.2,3,I
-20.0,-27.3,2,I
-20.0,-27.4,2,I
-20.0,-27.4,3,I
-20.0,-27.5,3,I
-20.0,-27.6,2,I
-20.0,-27.6,3,I
-20.0,-27.8,2,I
-20.0,-27.8,3,I
-20.0,-27.9,2,I
-20.0,-28.0,2,I
-20.0,-28.0,3,I
-20.0,-28.1,3,I
-20.0,-28.2,3,I
-20.0,-28.4,2,I
-20.0,-28.4,3,I
-20.0,-28.5,3,I
-20.0,-28.5,4,I
-20.0,-28.7,2,I
-20.0,-28.8,2,I
-20.0,-28.9,2,I
-20.0,-28.9,3,I
-20.0,-29.2,3,E
-20.0,-29.3,3,E
-20.0,-29.6,3,E
-20.0,-29.7,2,I
-20.0,-29.7,3,E
-20.0,-29.8,2,I
-20.0,-29.8,3,E
-20.0,-29.9,3,E
-20.0,-30.0,3,E
-20.0,-30.1,2,I
-20.0,-30.1,3,E
-20.0,-30.1,4,I
-20.0,-30.2,3,I
-20.0,-30.3,2,I
-20.0,-30.3,3,E
-20.0,-30.4,2,I
-20.0,-30.4,3,E
-20.0,-30.5,2,I
-20.0,-30.5,3,E
-20.0,-30.6,3,E
-20.0,-30.7,2,I
-20.0,-30.9,2,I
-20.0,-30.9,3,E
-20.0,-31.0,3,E
-20.0,-31.2,3,I
-20.0,-31.3,3,I
-20.0,-31.4,2,I
-20.0,-31.4,3,I
-20.0,-31.5,3,I
-20.0,-31.6,3,I
-20.0,-31.7,2,I
-20.0,-31.8,2,I
-20.0,-31.8,3,I
-20.0,-31.9,2,I
-20.0,-32.0,2,I
-20.0,-32.0,3,I
-20.0,-32.1,3,I
-20.0,-32.2,2,I
-20.0,-32.2,3,I
-20.0,-32.3,2,I
-20.0,-32.3,3,I
-20.0,-32.6,3,I
-20.0,-32.9,2,I
-20.0,-32.9,4,I
-20.0,-33.0,6,I
-20.0,-33.1,2,I
-20.0,-33.1,4,I
-20.0,-33.2,2,I
-20.0,-33.2,6,I
-20.0,-33.3,2,I
-20.0,-33.3,3,I
-20.0,-33.4,2,I
-20.0,-33.4,3,I
-20.0,-33.5,2,I
-20.0,-33.6,2,I
-20.0,-33.6,3,I
-20.0,-33.7,2,I
-20.0,-33.7,4,I
-20.0,-33.7,7,I
-20.0,-33.8,3,I
-20.0,-33.9,2,I
-20.0,-33.9,5,I
-20.0,-34.0,2,I
-20.0,-34.0,3,I
-20.0,-34.1,2,I
-20.0,-34.2,4,I
-20.0,-34.4,3,I
-20.0,-34.6,2,I
-20.0,-35.1,2,I
-20.0,-35.2,2,I
-20.0,-35.3,2,I
-20.0,-35.4,4,I
-20.0,-35.6,2,I
-20.0,-35.9,2,I
-20.0,-36.0,2,I
-20.0,-36.2,2,I
-20.0,-36.2,4,I
-20.0,-36.3,2,I
-20.0,-36.4,2,I
-20.0,-36.5,2,I
-20.0,-36.6,2,I
-20.0,-36.7,2,I
-20.0,-37.0,2,I
-20.0,-37.1,2,I
-20.0,-37.2,2,I
-20.0,-37.4,2,I
-20.0,-37.5,4,E
-20.0,-37.6,2,I
-20.0,-37.7,4,E
-20.0,-37.8,2,I
-20.0,-38.0,2,E
-20.0,-38.2,2,E
-20.0,-38.3,2,E
-20.0,-38.4,2,E
-20.0,-38.7,2,E
-20.0,-38.9,2,E
-20.0,-39.0,2,E
-20.0,-39.1,2,E
-20.0,-39.2,2,E
-20.0,-39.3,2,E
-20.0,-39.4,2,E
-20.0,-39.5,2,E
-20.0,-39.6,2,E
-20.0,-39.7,2,E
-20.0,-39.8,2,E
-20.0,-40.0,2,E
-20.0,-40.1,2,E
-20.0,-40.2,2,E
-20.0,-40.3,2,E
-20.0,-40.4,2,E
-20.0,-40.5,2,E
-20.0,-40.6,2,E
-20.0,-40.7,2,E
-20.0,-40.8,2,E
-20.0,-40.9,2,E
